=== 小牛靠近开机助手 诊断日志 ===
时间段: 2026-09-19 00:00 ~ 2026-09-19 23:59
导出时间: 2026-09-19 20:26:01

=== 当前配置 ===
靠近阈值: -67 dBm
离开阈值: -79 dBm
滞回区间: 12 dB
扫描间隔: 1100 ms
连续达标: 3 次
冷却时间: 30 秒
滤波窗口: 3
自动开机: true
自动关机: false
目标MAC: 54:88:FE:42:69:74
目标名称: NIU Link 6974

=== 2026-09-19 ===
13:32:42.157 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:42.864 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:43.570 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:44.279 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:44.990 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:45.696 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:46.404 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:47.112 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:47.820 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:48.530 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:49.239 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:49.945 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:50.652 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:51.362 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:52.076 | RSSI | raw=-58 smooth=-58.1 near=-67 far=-79 consec=2 nearOk=Y farOk=N
13:32:52.784 | RSSI | raw=-54 smooth=-54.8 near=-67 far=-79 consec=3 nearOk=Y farOk=N
13:32:53.491 | RSSI | raw=-66 smooth=-63.8 near=-67 far=-79 consec=4 nearOk=Y farOk=N
13:32:54.197 | RSSI | raw=-56 smooth=-57.6 near=-67 far=-79 consec=5 nearOk=Y farOk=N
13:32:54.911 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:55.617 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:56.324 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:57.031 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:57.737 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:58.444 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:59.158 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:59.864 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:00.570 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:01.279 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:01.986 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:02.694 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:03.402 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:04.109 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:04.819 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:05.528 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:06.248 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:06.953 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:07.662 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:08.369 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:09.077 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:09.785 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:10.493 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:11.200 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:11.908 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:12.619 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:13.337 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:14.044 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:14.752 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:15.459 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:16.168 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:16.876 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:17.585 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:18.296 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:19.004 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:19.711 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:20.422 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:21.130 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:21.841 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:33:22.548 | RSSI | raw=-67 smooth=-65.1 near=-67 far=-79 consec=6 nearOk=Y farOk=N
13:33:23.257 | RSSI | raw=-56 smooth=-57.8 near=-67 far=-79 consec=7 nearOk=Y farOk=N
13:33:23.962 | RSSI | raw=-64 smooth=-62.8 near=-67 far=-79 consec=8 nearOk=Y farOk=N
